meal_name,diet_type,cost_inr,ingredients,num_ingredients,calories,prep_time,protein,fat,carbs,vegan,vegetarian,keto,paleo,gluten_free,mediterranean,is_healthy
uten-Free Pasta,Veg,138,"rice pasta, tomato sauce, garlic, olive oil, basil",0.0,0.1727272727272727,0.06,0.9122105906290744,0.2494752991358435,0.4087086026708388,0,0,0,0,1,0,0
Grilled Salmon,Non-veg,442,"salmon fillet, lemon, asparagus, olive oil, herbs",0.2727272727272727,0.9527272727272728,0.62,0.601925948678716,0.6960884083390182,0.884275809212313,0,0,1,1,1,1,0
Vegetarian Pizza,Veg,258,"whole wheat crust, tomato sauce, mozzarella, bell peppers, olives",0.7272727272727273,0.049090909090909,0.86,0.1875154678460743,0.8943598716403433,0.5391718890952869,0,1,0,0,0,0,0
Gluten-Free Pasta,Veg,137,"rice pasta, tomato sauce, garlic, olive oil, basil",0.0,0.6981818181818182,0.52,0.4292871548500221,0.8196281618068026,0.8643083708474789,0,0,0,0,1,0,0
Lentil Soup,Veg,125,"lentils, carrots, celery, onion, vegetable broth, spices",0.6363636363636364,0.6781818181818182,0.62,0.5214403204093901,0.7043431426061666,0.3614100288488382,0,1,0,0,0,0,0
Chickpea Stew,Veg,126,"chickpeas, spinach, tomatoes, coconut milk, curry powder",0.8181818181818182,0.4854545454545454,0.76,0.4997876936196097,0.3011911177732236,0.2817020554069785,1,1,0,0,0,0,1
Chickpea Stew,Veg,148,"chickpeas, spinach, tomatoes, coconut milk, curry powder",0.9090909090909092,0.2036363636363636,0.02,0.5052460694809017,0.0511643242643797,0.2754357883748146,1,1,0,0,0,0,0
Quinoa Salad,Veg,146,"quinoa, cucumber, cherry tomatoes, feta cheese, lemon dressing",0.0,0.730909090909091,0.02,0.5336465804409141,0.4484654353248747,0.5528807708505465,1,1,0,0,0,1,0
Vegan Buddha Bowl,Veg,214,"quinoa, chickpeas, avocado, sweet potato, kale, tahini",0.5454545454545454,0.3672727272727272,0.32,0.7319404001337115,0.3682642049780106,0.6332196508395695,1,1,0,0,1,0,1
Paleo Chicken Bowl,Non-veg,270,"grilled chicken, sweet potato, broccoli, avocado, olive oil",0.4545454545454545,0.9272727272727272,0.94,0.8024289367531422,0.1506527005747429,0.5076652182113695,0,0,1,1,1,0,0
Eggplant Parmesan,Veg,176,"eggplant, marinara sauce, mozzarella, parmesan, basil",0.1818181818181818,0.730909090909091,0.5,0.5147083985007513,0.226621512555469,0.6462366695276998,0,1,0,0,0,1,0
Almond Flour Pancakes,Veg,192,"almond flour, eggs, almond milk, maple syrup, baking powder",0.7272727272727273,1.0,0.34,0.8419958598169651,0.6769455692551672,0.7373301143594055,0,1,1,1,1,0,0
Cauliflower Rice Bowl,Veg,165,"cauliflower, bell peppers, broccoli, tofu, soy sauce",0.5454545454545454,0.7527272727272727,0.58,0.699342075141106,0.2286809255442748,0.1705349651752047,1,1,0,1,1,0,0
Eggplant Parmesan,Veg,175,"eggplant, marinara sauce, mozzarella, parmesan, basil",0.7272727272727273,0.0018181818181818,0.0,0.0935686900638979,0.8990283427613591,0.904458693606296,0,1,0,0,0,1,0
Keto Avocado Salad,Non-veg,206,"avocado, bacon, hard boiled egg, mixed greens, ranch dressing",0.7272727272727273,0.1781818181818182,0.36,0.7296681331684393,0.8989225794352305,0.8909715826599102,0,0,1,1,1,0,0
Chickpea Stew,Veg,151,"chickpeas, spinach, tomatoes, coconut milk, curry powder",0.0,0.3109090909090909,0.54,0.4723436323861255,0.2798195354865603,0.8873372848441404,1,1,0,0,0,0,0
Keto Avocado Salad,Non-veg,221,"avocado, bacon, hard boiled egg, mixed greens, ranch dressing",0.3636363636363636,0.5072727272727273,0.56,0.4303690362605235,0.968642041712772,0.9683976958705834,0,0,1,1,1,0,0
Quinoa Salad,Veg,165,"quinoa, cucumber, cherry tomatoes, feta cheese, lemon dressing",0.2727272727272727,0.3454545454545454,0.4,0.1918787092748227,0.2687061708053387,0.4844790276924101,1,1,0,0,0,1,0
Cauliflower Rice Bowl,Veg,154,"cauliflower, bell peppers, broccoli, tofu, soy sauce",0.7272727272727273,0.5854545454545454,0.78,0.0707656707816095,0.2090002490217749,0.6725102754082589,1,1,0,1,1,0,0
Chicken Stir Fry,Non-veg,252,"chicken breast, bell peppers, onion, soy sauce, ginger",0.9090909090909092,0.889090909090909,0.02,0.3241937534879258,0.8503602875987724,0.1317543100592486,0,0,1,1,1,0,0
Eggplant Parmesan,Veg,202,"eggplant, marinara sauce, mozzarella, parmesan, basil",0.5454545454545454,0.8654545454545455,0.82,0.8135014794244672,0.8117069187715653,0.8707240656507488,0,1,0,0,0,1,0
Tofu Stir Fry,Veg,160,"tofu, broccoli, carrots, snap peas, soy sauce, sesame oil",1.0,0.9181818181818182,0.12,0.504077376148056,0.7998589804810996,0.6510836858084913,1,1,0,0,0,0,0
Shrimp Zoodles,Non-veg,319,"shrimp, zucchini noodles, garlic, lemon, parmesan",1.0,0.8545454545454545,0.28,0.3774979967313926,0.0937744075313627,0.5785638952304525,0,0,1,1,1,0,0
Greek Yogurt Parfait,Veg,124,"greek yogurt, honey, granola, mixed berries, walnuts",0.7272727272727273,0.3436363636363636,0.42,0.5938525375858948,0.0301330624388263,0.0313234101299667,0,1,0,0,0,1,0
Paleo Chicken Bowl,Non-veg,294,"grilled chicken, sweet potato, broccoli, avocado, olive oil",0.4545454545454545,0.8054545454545454,0.72,0.5249106707368519,0.7714861765853407,0.211877659971957,0,0,1,1,1,0,0
Mediterranean Wrap,Veg,139,"whole wheat wrap, hummus, cucumber, olives, feta cheese",0.5454545454545454,0.3545454545454545,0.1,0.05193515367947,0.5322470829014849,0.5404798467935364,0,0,0,0,0,1,0
Vegan Curry,Veg,184,"tofu, coconut milk, sweet potato, peas, curry paste",0.2727272727272727,0.4872727272727272,0.98,0.5189372718778147,0.3233248070399587,0.7979995813544613,1,1,0,0,0,0,0
Greek Yogurt Parfait,Veg,113,"greek yogurt, honey, granola, mixed berries, walnuts",1.0,0.1036363636363636,0.5,0.0254690981516412,0.964625561319529,0.839269259768347,0,1,0,0,0,1,0
Keto Avocado Salad,Non-veg,206,"avocado, bacon, hard boiled egg, mixed greens, ranch dressing",1.0,0.1036363636363636,0.0,0.4446097998559926,0.2399465245849063,0.0885077264655599,0,0,1,1,1,0,0
Vegan Curry,Veg,177,"tofu, coconut milk, sweet potato, peas, curry paste",0.3636363636363636,0.4927272727272727,0.76,0.6604706116501335,0.4363247123511982,0.7320929380426204,1,1,0,0,0,0,0
Keto Omelette,Veg,134,"eggs, spinach, mushrooms, cheddar cheese, avocado",1.0,0.2781818181818182,0.3,0.1594486086265854,0.1200229644872397,0.3394064380207787,0,0,1,0,1,0,0
Mediterranean Wrap,Veg,149,"whole wheat wrap, hummus, cucumber, olives, feta cheese",0.0,0.1690909090909091,0.9,0.9845237179392906,0.1753273270160692,0.0109008945222453,0,0,0,0,0,1,0
Eggplant Parmesan,Veg,177,"eggplant, marinara sauce, mozzarella, parmesan, basil",0.3636363636363636,1.0,0.7,0.1740787001322911,0.4344988825050697,0.3966918865469099,0,1,0,0,0,1,0
Vegetarian Pizza,Veg,239,"whole wheat crust, tomato sauce, mozzarella, bell peppers, olives",0.4545454545454545,0.18,0.66,0.2622203117888634,0.0148991358818564,0.9378620146219412,0,1,0,0,0,0,0
Quinoa Salad,Veg,153,"quinoa, cucumber, cherry tomatoes, feta cheese, lemon dressing",0.6363636363636364,0.5890909090909091,0.88,0.1637585853770523,0.0703023313764202,0.6434510449264644,1,1,0,0,0,1,0
Chickpea Stew,Veg,131,"chickpeas, spinach, tomatoes, coconut milk, curry powder",1.0,0.289090909090909,0.52,0.8050464658275763,0.6784275123062817,0.5735934976668106,1,1,0,0,0,0,0
Quinoa Salad,Veg,155,"quinoa, cucumber, cherry tomatoes, feta cheese, lemon dressing",0.0,0.7745454545454545,0.72,0.6291390428111072,0.8220463059835151,0.652622263455708,1,1,0,0,0,1,0
Grilled Salmon,Non-veg,443,"salmon fillet, lemon, asparagus, olive oil, herbs",1.0,0.5163636363636364,0.24,0.215678266300184,0.3777639873142733,0.0329571877133966,0,0,1,1,1,1,0
Cauliflower Rice Bowl,Veg,151,"cauliflower, bell peppers, broccoli, tofu, soy sauce",0.1818181818181818,0.1618181818181818,0.14,0.3873620091229001,0.6828840188042741,0.338136703396547,1,1,0,1,1,0,0
Greek Yogurt Parfait,Veg,112,"greek yogurt, honey, granola, mixed berries, walnuts",0.7272727272727273,0.3545454545454545,0.98,0.6321576257696742,0.879234943209541,0.7371833470033119,0,1,0,0,0,1,0
Vegan Buddha Bowl,Veg,188,"quinoa, chickpeas, avocado, sweet potato, kale, tahini",0.8181818181818182,0.8290909090909091,0.46,0.8109621027116014,0.9925523477588564,0.4109694190082566,1,1,0,0,1,0,0
Cauliflower Rice Bowl,Veg,169,"cauliflower, bell peppers, broccoli, tofu, soy sauce",0.0,0.1727272727272727,0.46,0.8715532163133535,0.5628358807041425,0.2349191117868987,1,1,0,1,1,0,0
Tofu Stir Fry,Veg,172,"tofu, broccoli, carrots, snap peas, soy sauce, sesame oil",0.5454545454545454,0.3927272727272727,0.68,0.103641199288479,0.904378914310764,0.5046844519470917,1,1,0,0,0,0,0
Eggplant Parmesan,Veg,188,"eggplant, marinara sauce, mozzarella, parmesan, basil",0.7272727272727273,0.62,0.24,0.9001055634147063,0.3897366182112346,0.0045036979368649,0,1,0,0,0,1,0
Keto Avocado Salad,Non-veg,212,"avocado, bacon, hard boiled egg, mixed greens, ranch dressing",0.1818181818181818,0.1363636363636363,0.16,0.3209400203973934,0.952007459026324,0.9552331056570372,0,0,1,1,1,0,0
Greek Yogurt Parfait,Veg,120,"greek yogurt, honey, granola, mixed berries, walnuts",0.8181818181818182,0.6654545454545454,0.3,0.450734350659762,0.293504295948263,0.3260371974235604,0,1,0,0,0,1,1
Vegan Buddha Bowl,Veg,193,"quinoa, chickpeas, avocado, sweet potato, kale, tahini",0.3636363636363636,0.2727272727272727,0.3,0.7936571851913071,0.0909915895647204,0.4937260569346637,1,1,0,0,1,0,1
Gluten-Free Pasta,Veg,160,"rice pasta, tomato sauce, garlic, olive oil, basil",0.8181818181818182,0.24,0.68,0.8922464060140983,0.351353661823255,0.1119719459562402,0,0,0,0,1,0,0
Lentil Soup,Veg,125,"lentils, carrots, celery, onion, vegetable broth, spices",0.7272727272727273,0.1327272727272727,0.86,0.871304042679061,0.8401456312268497,0.4246003531714113,0,1,0,0,0,0,0
Vegan Curry,Veg,156,"tofu, coconut milk, sweet potato, peas, curry paste",0.8181818181818182,0.7127272727272728,0.98,0.8964606406945672,0.1465296348864118,0.5128524075561274,1,1,0,0,0,0,0
Paleo Chicken Bowl,Non-veg,284,"grilled chicken, sweet potato, broccoli, avocado, olive oil",0.1818181818181818,0.9,0.88,0.372531844852244,0.8143998470206317,0.9518353673201272,0,0,1,1,1,0,0
Tofu Stir Fry,Veg,172,"tofu, broccoli, carrots, snap peas, soy sauce, sesame oil",0.2727272727272727,0.1254545454545454,0.6,0.4841262425879206,0.3784943263889385,0.7068469526159542,1,1,0,0,0,0,0
Vegetarian Pizza,Veg,249,"whole wheat crust, tomato sauce, mozzarella, bell peppers, olives",0.8181818181818182,0.9636363636363636,0.76,0.4366688856792282,0.2538762844839985,0.403467345737865,0,1,0,0,0,0,0
Almond Flour Pancakes,Veg,192,"almond flour, eggs, almond milk, maple syrup, baking powder",1.0,0.8272727272727273,0.8,0.7480177643111182,0.6823083327214677,0.233816006806607,0,1,1,1,1,0,0
Chickpea Stew,Veg,131,"chickpeas, spinach, tomatoes, coconut milk, curry powder",0.7272727272727273,0.2109090909090909,0.1,0.8062123707314769,0.979916174512294,0.5560290130386976,1,1,0,0,0,0,0
Turkey Lettuce Wraps,Non-veg,216,"ground turkey, lettuce leaves, ginger, soy sauce, water chestnuts",0.3636363636363636,0.1436363636363636,0.4,0.9980470057572,0.0735382666079514,0.5538531759681896,0,0,1,1,1,1,0
Almond Flour Pancakes,Veg,193,"almond flour, eggs, almond milk, maple syrup, baking powder",0.7272727272727273,0.7290909090909091,0.92,0.6326157553322617,0.6970545881110127,0.4533817317072278,0,1,1,1,1,0,0
Keto Omelette,Veg,122,"eggs, spinach, mushrooms, cheddar cheese, avocado",0.5454545454545454,0.02,0.18,0.9552753954518636,0.8920588846220989,0.4545104312592177,0,0,1,0,1,0,0
Vegan Curry,Veg,169,"tofu, coconut milk, sweet potato, peas, curry paste",0.8181818181818182,0.6309090909090909,0.7,0.4660654808292268,0.3537970068457954,0.5840025624901524,1,1,0,0,0,0,1
Mediterranean Wrap,Veg,127,"whole wheat wrap, hummus, cucumber, olives, feta cheese",0.7272727272727273,0.9109090909090908,0.32,0.2811869980189425,0.4117970025936862,0.6033513839151079,0,0,0,0,0,1,0
Eggplant Parmesan,Veg,188,"eggplant, marinara sauce, mozzarella, parmesan, basil",0.1818181818181818,0.4581818181818182,0.1,0.9546606873123832,0.7271007835309775,0.61410870715979,0,1,0,0,0,1,0
Chicken Stir Fry,Non-veg,241,"chicken breast, bell peppers, onion, soy sauce, ginger",0.8181818181818182,0.4381818181818182,0.88,0.1656681655711411,0.4118455200211275,0.780210600755417,0,0,1,1,1,0,0
Cauliflower Rice Bowl,Veg,148,"cauliflower, bell peppers, broccoli, tofu, soy sauce",0.0,0.5109090909090909,0.48,0.9748783590328032,0.8437929404972173,0.8416452339569379,1,1,0,1,1,0,0
Chicken Stir Fry,Non-veg,242,"chicken breast, bell peppers, onion, soy sauce, ginger",0.7272727272727273,0.1781818181818182,0.0,0.0137304074916475,0.075104691870494,0.6933210603731792,0,0,1,1,1,0,0
Mediterranean Wrap,Veg,132,"whole wheat wrap, hummus, cucumber, olives, feta cheese",0.3636363636363636,0.7927272727272727,0.44,0.7729206220552322,0.9466979019265382,0.8530959222979657,0,0,0,0,0,1,0
Chickpea Stew,Veg,128,"chickpeas, spinach, tomatoes, coconut milk, curry powder",0.3636363636363636,0.14,0.16,0.1298103078170294,0.9560065516415268,0.6067837037782318,1,1,0,0,0,0,0
Quinoa Salad,Veg,136,"quinoa, cucumber, cherry tomatoes, feta cheese, lemon dressing",0.0,0.8854545454545455,0.62,0.0471253519779162,0.2689042929637835,0.0159831221255621,1,1,0,0,0,1,0
Chicken Stir Fry,Non-veg,254,"chicken breast, bell peppers, onion, soy sauce, ginger",0.4545454545454545,0.2127272727272727,0.04,0.5228202426418167,0.8538808248620364,0.5518830185664882,0,0,1,1,1,0,0
Mediterranean Wrap,Veg,130,"whole wheat wrap, hummus, cucumber, olives, feta cheese",0.9090909090909092,0.7272727272727273,0.94,0.4824969058135217,0.4211495227818489,0.7873589868347889,0,0,0,0,0,1,0
Shrimp Zoodles,Non-veg,326,"shrimp, zucchini noodles, garlic, lemon, parmesan",0.0909090909090909,0.1345454545454545,1.0,0.9077725243230548,0.618372223063846,0.9854368697433212,0,0,1,1,1,0,0
Cauliflower Rice Bowl,Veg,154,"cauliflower, bell peppers, broccoli, tofu, soy sauce",0.0909090909090909,0.6072727272727273,0.52,0.0914572368488425,0.7277800117529234,0.547370466447601,1,1,0,1,1,0,0
Quinoa Salad,Veg,138,"quinoa, cucumber, cherry tomatoes, feta cheese, lemon dressing",0.6363636363636364,0.6072727272727273,0.58,0.6252663072226167,0.8640886413424379,0.9541339109721916,1,1,0,0,0,1,0
Vegan Buddha Bowl,Veg,206,"quinoa, chickpeas, avocado, sweet potato, kale, tahini",0.8181818181818182,0.3327272727272727,0.32,0.4946291525825531,0.2584499727885913,0.458030008036168,1,1,0,0,1,0,1
Chicken Stir Fry,Non-veg,253,"chicken breast, bell peppers, onion, soy sauce, ginger",0.4545454545454545,0.0945454545454545,0.02,0.3304264098438134,0.6345499498758237,0.2364859329301049,0,0,1,1,1,0,0
Greek Yogurt Parfait,Veg,125,"greek yogurt, honey, granola, mixed berries, walnuts",0.7272727272727273,0.3309090909090909,0.3,0.152670259073863,0.1387324252107518,0.6418884986482202,0,1,0,0,0,1,0
Vegan Curry,Veg,172,"tofu, coconut milk, sweet potato, peas, curry paste",0.2727272727272727,0.509090909090909,0.04,0.878791155037352,0.516087968296907,0.9779987480074744,1,1,0,0,0,0,0
Greek Yogurt Parfait,Veg,120,"greek yogurt, honey, granola, mixed berries, walnuts",0.1818181818181818,0.0072727272727272,0.34,0.2800078115357036,0.1770117671093287,0.0832766670181425,0,1,0,0,0,1,0
Quinoa Salad,Veg,146,"quinoa, cucumber, cherry tomatoes, feta cheese, lemon dressing",0.3636363636363636,0.4218181818181818,0.22,0.2073805148331882,0.3647420974982781,0.5028279487736507,1,1,0,0,0,1,0
Tofu Stir Fry,Veg,146,"tofu, broccoli, carrots, snap peas, soy sauce, sesame oil",0.9090909090909092,0.1309090909090909,0.5,0.8034996755271538,0.6290356514900902,0.0762521877245404,1,1,0,0,0,0,0
Grilled Salmon,Non-veg,444,"salmon fillet, lemon, asparagus, olive oil, herbs",0.0,0.0454545454545454,0.7,0.8103253935936929,0.749697653636829,0.1802126204650697,0,0,1,1,1,1,0
Turkey Lettuce Wraps,Non-veg,234,"ground turkey, lettuce leaves, ginger, soy sauce, water chestnuts",0.6363636363636364,0.9545454545454546,0.5,0.7638422816687136,0.5321579817814838,0.7224586194235925,0,0,1,1,1,1,0
Shrimp Zoodles,Non-veg,308,"shrimp, zucchini noodles, garlic, lemon, parmesan",0.9090909090909092,0.5654545454545454,1.0,0.7169973709933337,0.8970143701006165,0.5111844529679427,0,0,1,1,1,0,0
Turkey Lettuce Wraps,Non-veg,218,"ground turkey, lettuce leaves, ginger, soy sauce, water chestnuts",1.0,0.4963636363636363,0.74,0.5353378957342751,0.2426364171173634,0.2659228913750313,0,0,1,1,1,1,0
Mediterranean Wrap,Veg,155,"whole wheat wrap, hummus, cucumber, olives, feta cheese",1.0,0.069090909090909,0.32,0.2125210396969865,0.327877106497823,0.114698492702461,0,0,0,0,0,1,0
Chickpea Stew,Veg,140,"chickpeas, spinach, tomatoes, coconut milk, curry powder",0.2727272727272727,0.0436363636363636,0.06,0.3569142920093464,0.6500107218394505,0.4787148058045823,1,1,0,0,0,0,0
Vegan Buddha Bowl,Veg,199,"quinoa, chickpeas, avocado, sweet potato, kale, tahini",0.4545454545454545,0.06,0.92,0.7492518802480128,0.4323012664011984,0.1226078418542421,1,1,0,0,1,0,0
Keto Avocado Salad,Non-veg,202,"avocado, bacon, hard boiled egg, mixed greens, ranch dressing",0.3636363636363636,0.94,0.5,0.6106602828844354,0.2445238037792914,0.4975980864448143,0,0,1,1,1,0,0
Paleo Chicken Bowl,Non-veg,278,"grilled chicken, sweet potato, broccoli, avocado, olive oil",0.3636363636363636,0.6836363636363636,0.64,0.0075613199349521,0.2254556102047553,0.3631573895405744,0,0,1,1,1,0,0
Eggplant Parmesan,Veg,197,"eggplant, marinara sauce, mozzarella, parmesan, basil",0.2727272727272727,0.6345454545454545,0.2,0.0883267931411545,0.8074477259203481,0.0498421933944612,0,1,0,0,0,1,0
Keto Avocado Salad,Non-veg,222,"avocado, bacon, hard boiled egg, mixed greens, ranch dressing",0.5454545454545454,0.44,0.6,0.4124904660698412,0.9844053846174012,0.1068851921138964,0,0,1,1,1,0,0
Chicken Stir Fry,Non-veg,249,"chicken breast, bell peppers, onion, soy sauce, ginger",0.2727272727272727,0.1345454545454545,0.06,0.005315500960406,0.9770755424922682,0.4900117129093639,0,0,1,1,1,0,0
Paleo Chicken Bowl,Non-veg,294,"grilled chicken, sweet potato, broccoli, avocado, olive oil",0.1818181818181818,0.8,0.02,0.5596073892279524,0.5726063890201972,0.2767839593771756,0,0,1,1,1,0,0
Lentil Soup,Veg,112,"lentils, carrots, celery, onion, vegetable broth, spices",0.3636363636363636,0.5909090909090909,0.5,0.3253280147097274,0.426062507795746,0.5070699580563641,0,1,0,0,0,0,1
Chickpea Stew,Veg,145,"chickpeas, spinach, tomatoes, coconut milk, curry powder",1.0,0.0,0.5,0.7717065117265635,0.0870658176358924,0.505545967320498,1,1,0,0,0,0,0
Vegan Buddha Bowl,Veg,200,"quinoa, chickpeas, avocado, sweet potato, kale, tahini",0.9090909090909092,0.4690909090909091,0.64,0.3711129374585116,0.4549665521334632,0.5485407686113855,1,1,0,0,1,0,0
Vegetarian Pizza,Veg,247,"whole wheat crust, tomato sauce, mozzarella, bell peppers, olives",1.0,0.0218181818181818,0.78,0.8140174029774656,0.2548371759350487,0.6829902933933991,0,1,0,0,0,0,0
Chickpea Stew,Veg,142,"chickpeas, spinach, tomatoes, coconut milk, curry powder",0.7272727272727273,0.9981818181818182,0.68,0.3506462644380192,0.9314229965813372,0.8338460285843853,1,1,0,0,0,0,0
Lentil Soup,Veg,119,"lentils, carrots, celery, onion, vegetable broth, spices",0.0909090909090909,0.6054545454545455,0.2,0.9431424438912503,0.1812449687079227,0.0608114235781721,0,1,0,0,0,0,0
Vegan Curry,Veg,175,"tofu, coconut milk, sweet potato, peas, curry paste",0.4545454545454545,0.6327272727272727,0.14,0.8321765250474308,0.7519455271934714,0.8024012596060809,1,1,0,0,0,0,0
Keto Omelette,Veg,138,"eggs, spinach, mushrooms, cheddar cheese, avocado",0.3636363636363636,0.2981818181818181,0.08,0.2368891490168602,0.6349085589113285,0.9119936288756576,0,0,1,0,1,0,0
Tofu Stir Fry,Veg,170,"tofu, broccoli, carrots, snap peas, soy sauce, sesame oil",0.8181818181818182,0.16,0.34,0.8207768957756011,0.4397954291297233,0.3748801379470416,1,1,0,0,0,0,0
Greek Yogurt Parfait,Veg,119,"greek yogurt, honey, granola, mixed berries, walnuts",0.4545454545454545,0.04,0.28,0.5804370779376099,0.3558122863110962,0.3895873621133586,0,1,0,0,0,1,0
Chicken Stir Fry,Non-veg,252,"chicken breast, bell peppers, onion, soy sauce, ginger",0.3636363636363636,0.1872727272727272,1.0,0.545622430224326,0.432169532831789,0.3302368511486684,0,0,1,1,1,0,1
Greek Yogurt Parfait,Veg,122,"greek yogurt, honey, granola, mixed berries, walnuts",0.6363636363636364,0.8127272727272727,0.28,0.8831247835822159,0.4962257119721346,0.7436477351499083,0,1,0,0,0,1,0
Vegan Buddha Bowl,Veg,212,"quinoa, chickpeas, avocado, sweet potato, kale, tahini",0.4545454545454545,0.8,0.64,0.7105955727769846,0.7800861370079677,0.1383368469842704,1,1,0,0,1,0,0
Vegan Buddha Bowl,Veg,197,"quinoa, chickpeas, avocado, sweet potato, kale, tahini",0.4545454545454545,0.9472727272727272,0.08,0.8812517453352418,0.3424981825037753,0.8243747414301994,1,1,0,0,1,0,0
Turkey Lettuce Wraps,Non-veg,213,"ground turkey, lettuce leaves, ginger, soy sauce, water chestnuts",0.2727272727272727,0.3909090909090909,0.28,0.8013737922890523,0.1498505716806695,0.2254646572352667,0,0,1,1,1,1,1
Lentil Soup,Veg,133,"lentils, carrots, celery, onion, vegetable broth, spices",0.0909090909090909,0.7454545454545455,0.6,0.6015010146117706,0.5664866945738731,0.7180710533480074,0,1,0,0,0,0,0
Mediterranean Wrap,Veg,139,"whole wheat wrap, hummus, cucumber, olives, feta cheese",0.2727272727272727,0.0181818181818181,0.18,0.3442697103395464,0.2274788712182495,0.4220766475219851,0,0,0,0,0,1,0
Shrimp Zoodles,Non-veg,317,"shrimp, zucchini noodles, garlic, lemon, parmesan",0.9090909090909092,0.7181818181818181,0.5,0.5892254934698934,0.5067170838520116,0.6121248772687099,0,0,1,1,1,0,0
Turkey Lettuce Wraps,Non-veg,205,"ground turkey, lettuce leaves, ginger, soy sauce, water chestnuts",0.6363636363636364,0.8345454545454546,0.86,0.5680206193489986,0.6979589918546448,0.9267975375493628,0,0,1,1,1,1,0
Vegan Curry,Veg,179,"tofu, coconut milk, sweet potato, peas, curry paste",0.8181818181818182,0.6854545454545454,0.16,0.4262947649302447,0.7378524832435767,0.9388035755302032,1,1,0,0,0,0,0
Grilled Salmon,Non-veg,441,"salmon fillet, lemon, asparagus, olive oil, herbs",0.5454545454545454,0.7345454545454545,0.5,0.8431899346893642,0.1245323103496248,0.9251207086761228,0,0,1,1,1,1,0
Greek Yogurt Parfait,Veg,103,"greek yogurt, honey, granola, mixed berries, walnuts",0.6363636363636364,0.7818181818181819,0.16,0.7480559541247424,0.2056529424915534,0.7905170170573346,0,1,0,0,0,1,0
Keto Avocado Salad,Non-veg,218,"avocado, bacon, hard boiled egg, mixed greens, ranch dressing",0.1818181818181818,0.4418181818181818,0.48,0.8679362896022432,0.924837563447504,0.4646709299920195,0,0,1,1,1,0,0
